PlayerId,Player,Team,Position,Games,Goals,Assists,Points,Shots,Shots Per Game,Shot Percentage,Points Per Game,Goals Per Game,Assists Per Game,PlusMinus,PIM,TOI Per Game
8474590,John Carlson,WSH,D,79,5,46,51,167,2.1139240506329116,2.9940119760479043,0.6455696202531646,0.06329113924050633,0.5822784810126582,17,22,1413.8481
8483515,Juraj Slafkovský,MTL,L,79,18,33,51,133,1.6835443037974684,13.533834586466165,0.6455696202531646,0.22784810126582278,0.4177215189873418,4,45,1040.9367
8477964,Ivan Barbashev,VGK,L,70,23,28,51,111,1.5857142857142856,20.72072072072072,0.7285714285714285,0.32857142857142857,0.4,26,10,1007.9
8476905,Chandler Stephenson,SEA,C,78,13,38,51,73,0.9358974358974359,17.80821917808219,0.6538461538461539,0.16666666666666666,0.48717948717948717,-9,24,1170.5641
8477935,Sam Bennett,FLA,C,76,25,26,51,241,3.1710526315789473,10.37344398340249,0.6710526315789473,0.32894736842105265,0.34210526315789475,-15,90,1047.2105
8473419,Brad Marchand,FLA,L,71,23,28,51,194,2.732394366197183,11.855670103092782,0.7183098591549296,0.323943661971831,0.39436619718309857,-7,64,1099.4507
8475170,Brayden Schenn,STL,C,82,18,32,50,145,1.7682926829268293,12.413793103448276,0.6097560975609756,0.21951219512195122,0.3902439024390244,3,61,1053.6585
8471215,Evgeni Malkin,PIT,C,68,16,34,50,125,1.838235294117647,12.8,0.7352941176470589,0.23529411764705882,0.5,-24,42,1067.1323
8473512,Claude Giroux,OTT,R,81,15,35,50,138,1.7037037037037037,10.869565217391305,0.6172839506172839,0.18518518518518517,0.43209876543209874,-8,18,1092.3209
8481581,Thomas Harley,DAL,D,78,16,34,50,171,2.1923076923076925,9.35672514619883,0.6410256410256411,0.20512820512820512,0.4358974358974359,32,16,1402.9358
8478856,Conor Garland,VAN,R,81,19,31,50,171,2.111111111111111,11.11111111111111,0.6172839506172839,0.2345679012345679,0.38271604938271603,-13,52,1119.2716
8482149,Cole Perfetti,WPG,C,82,18,32,50,143,1.7439024390243902,12.587412587412588,0.6097560975609756,0.21951219512195122,0.3902439024390244,14,20,911.2195
8478444,Brock Boeser,VAN,R,75,25,25,50,145,1.9333333333333333,17.24137931034483,0.6666666666666666,0.3333333333333333,0.3333333333333333,-25,16,1089.68
8476454,Ryan Nugent-Hopkins,EDM,C,78,20,29,49,164,2.1025641025641026,12.195121951219512,0.6282051282051282,0.2564102564102564,0.3717948717948718,4,24,1138.3717
8473994,Jamie Benn,DAL,L,80,16,33,49,136,1.7,11.76470588235294,0.6125,0.2,0.4125,3,70,918.075
8475768,Jaden Schwartz,SEA,L,81,26,23,49,194,2.3950617283950617,13.402061855670103,0.6049382716049383,0.32098765432098764,0.2839506172839506,-6,24,1072.9629
8478498,Jake DeBrusk,VAN,L,82,28,20,48,171,2.0853658536585367,16.374269005847953,0.5853658536585366,0.34146341463414637,0.24390243902439024,-15,18,998.9512
8480830,Andrei Svechnikov,CAR,R,72,20,28,48,180,2.5,11.11111111111111,0.6666666666666666,0.2777777777777778,0.3888888888888889,-8,59,1026.8194
8475151,Kyle Palmieri,NYI,C,82,24,24,48,169,2.0609756097560976,14.201183431952662,0.5853658536585366,0.2926829268292683,0.2926829268292683,-17,20,1110.9756
8478975,Mason Marchment,SEA,L,62,22,25,47,134,2.161290322580645,16.417910447761194,0.7580645161290323,0.3548387096774194,0.4032258064516129,15,53,920.387
8482679,Matt Coronato,CGY,R,77,24,23,47,180,2.3376623376623376,13.333333333333334,0.6103896103896104,0.3116883116883117,0.2987012987012987,6,25,1054.7792
8478401,Pavel Zacha,BOS,C,82,14,33,47,132,1.6097560975609757,10.606060606060606,0.573170731707317,0.17073170731707318,0.4024390243902439,-8,21,1143.7439
